"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","2","import authReducer from ""../features/auth/store/authSlice"";","index.ts","C:\TEAC2026\ilp_frontend\src\store\index.ts","createSlice|isAuthenticated|loginSuccess|logout|authSlice|setAuthenticated",,"System.Text.RegularExpressions.Match[]"
"True","38","import LogoutIcon from ""@mui/icons-material/Logout"";","AppShell.tsx","C:\TEAC2026\ilp_frontend\src\layouts\AppShell.tsx","createSlice|isAuthenticated|loginSuccess|logout|authSlice|setAuthenticated",,"System.Text.RegularExpressions.Match[]"
"True","45","import { logout } from ""../features/auth/store/authSlice"";","AppShell.tsx","C:\TEAC2026\ilp_frontend\src\layouts\AppShell.tsx","createSlice|isAuthenticated|loginSuccess|logout|authSlice|setAuthenticated",,"System.Text.RegularExpressions.Match[]"
"True","193","        <Tooltip title={collapsed ? ""Logout"" : """"} placement=""right"" arrow>","AppShell.tsx","C:\TEAC2026\ilp_frontend\src\layouts\AppShell.tsx","createSlice|isAuthenticated|loginSuccess|logout|authSlice|setAuthenticated",,"System.Text.RegularExpressions.Match[]"
"True","197","            startIcon={!collapsed ? <LogoutIcon /> : undefined}","AppShell.tsx","C:\TEAC2026\ilp_frontend\src\layouts\AppShell.tsx","createSlice|isAuthenticated|loginSuccess|logout|authSlice|setAuthenticated",,"System.Text.RegularExpressions.Match[]"
"True","198","            onClick={() => dispatch(logout())}","AppShell.tsx","C:\TEAC2026\ilp_frontend\src\layouts\AppShell.tsx","createSlice|isAuthenticated|loginSuccess|logout|authSlice|setAuthenticated",,"System.Text.RegularExpressions.Match[]"
"True","199","            aria-label=""Logout""","AppShell.tsx","C:\TEAC2026\ilp_frontend\src\layouts\AppShell.tsx","createSlice|isAuthenticated|loginSuccess|logout|authSlice|setAuthenticated",,"System.Text.RegularExpressions.Match[]"
"True","213","            {collapsed ? <LogoutIcon /> : ""Logout""}","AppShell.tsx","C:\TEAC2026\ilp_frontend\src\layouts\AppShell.tsx","createSlice|isAuthenticated|loginSuccess|logout|authSlice|setAuthenticated",,"System.Text.RegularExpressions.Match[]"
